hex_id,registered_population,registered_senior_population,demand_index_final,access_cost_m0,access_cost_m3,official_400m_ok_m0,vulnerable_m3_final,hidden_vulnerable_final,access_cost_m4_ref_min,senior_hidden_robust,district_name,admin_name,admin_code
8930e1ce68bffff,1418.5137457217625,272.6520165785234,0.09552045793023772,693.6092094793505,803.96037359843,False,True,False,14.21544725352567,False,강동구,암사3동,11250590
8930e1ce68fffff,1418.6275844964412,272.6738974884367,0.09427420846588809,786.7336297770628,896.2384966002921,False,True,False,15.851468816635304,False,강동구,암사3동,11250590
8930e1ce693ffff,1416.747626404011,272.3125514200393,0.09645844060683506,1541.9629165396768,1779.785149428325,False,True,False,31.885048290523805,False,강동구,암사3동,11250590
8930e1cf00bffff,971.7189370092112,194.86416329245276,0.07589093518333068,743.3934378119625,856.1292244005879,False,False,False,15.333807928773725,False,송파구,오륜동,11240590
8930e1cf017ffff,7698.544675594461,1125.4114361701359,0.5278594727456603,140.54895490318918,154.63716077797352,True,True,True,2.7677440598008753,True,강동구,둔촌1동,11250700
8930e1cf093ffff,2507.7866759691237,538.8292159944607,0.3102656482672079,268.73442759136435,287.95650897367915,True,True,True,5.275157282349004,True,강동구,성내3동,11250670
8930e1cf203ffff,2513.6086380337792,539.7179259347819,0.21259917657611577,283.3090867229628,310.10666128398475,True,True,True,5.603283055964013,True,송파구,오금동,11240600
8930e1cf20fffff,2675.2111182020767,637.8358532734582,0.22798605954821183,326.76033468402744,368.9066362365599,True,True,True,6.482675344284857,True,송파구,거여1동,11240530
8930e1cf223ffff,2667.50345683615,785.7535123803588,0.3135984538714883,162.53265874380764,182.55672720854784,True,False,False,3.3829722431231035,True,송파구,마천2동,11240560
8930e1cf233ffff,2662.4443950665873,779.3928067860442,0.2876612879268411,254.60139354114943,294.6119659455756,True,True,True,5.096612335101393,True,송파구,마천2동,11240560
8930e1cf23bffff,2731.866865665259,703.5393337154073,0.2944565227345262,309.1725857473285,346.0387590125831,True,True,True,6.140911115587266,True,송파구,거여1동,11240530
8930e1cf25bffff,2750.8850050517435,490.9734862058708,0.23776240527437606,335.22902404822685,360.7418294034093,True,True,True,6.610917749247545,True,송파구,가락2동,11240670
8930e1cf26fffff,3617.8698210032767,804.3355659907544,0.32509828510159017,167.80614377645,194.65422300932602,True,False,False,3.387151285920998,True,송파구,거여2동,11240540
8930e1cf273ffff,2748.2727357216468,682.243185261639,0.27996989842100645,190.54649771634547,219.23896227474813,True,False,False,3.797734502662669,True,송파구,거여1동,11240530
8930e1cf28bffff,2513.313418508014,539.6545368821941,0.2569902865971477,273.1578773900155,330.25679780467755,True,True,True,5.485192768886444,True,송파구,오금동,11240600
8930e1cf417ffff,3150.822083628074,677.0055674703544,0.31036160046501593,231.08353079491647,248.68135577518586,True,True,True,4.546725971531343,True,강동구,성내2동,11250660
8930e1cf423ffff,3174.926565091288,673.9572058498043,0.2908997010999503,209.84253076063084,231.8587490851001,True,True,True,4.133570352308786,True,강동구,성내2동,11250660
8930e1cf433ffff,3220.660558876416,685.4395439121795,0.36145082714114807,295.31098902572245,330.1078877873493,True,True,True,5.821298901067633,True,강동구,성내2동,11250660
8930e1cf437ffff,3220.919094896672,685.4945670382027,0.3373818867157226,203.18017296161074,217.99681121372043,True,True,True,4.01500079628181,True,강동구,성내2동,11250660
8930e1cf483ffff,1985.7542642937472,544.4724235788001,0.22505484784288865,247.35245961941746,272.1349535003931,True,False,False,5.033379907437546,True,송파구,풍납1동,11240510
8930e1cf487ffff,2043.0524026517996,545.8739295426706,0.23022393245603395,354.0886456415961,385.4729359967107,True,True,True,7.027098378792867,True,송파구,풍납1동,11240510
8930e1cf48fffff,1986.7871042802851,544.608946667661,0.23813390621896297,232.55617139126457,254.38631146678193,True,False,False,4.61416495656297,True,송파구,풍납1동,11240510
8930e1cf4abffff,3220.471242484264,685.3992525063888,0.3521488117030754,357.17836637643296,385.75348384384324,True,True,True,7.144414900065991,True,강동구,성내2동,11250660
8930e1cf503ffff,2906.2113800849315,621.6204261133261,0.3212036215174277,222.68416468881452,254.63858058973165,True,True,True,4.371207677224878,True,강동구,길동,11250740
8930e1cf50bffff,2906.148952776467,621.6070733027375,0.2941117738234102,238.57085193012597,258.4129092725745,True,True,True,4.7844950238789234,True,강동구,길동,11250740
8930e1cf577ffff,2821.500059909261,593.2677814122178,0.28248903788435037,209.8823331821432,235.9369625595603,True,True,True,4.263025051375462,True,강동구,둔촌2동,11250710
