candidate_priority_rank,rank,district_name,admin_name,admin_code,hex_id,primary_reason,vulnerability_m3_final,demand_index_final,access_cost_m0,access_cost_m3,registered_population,registered_senior_population,centroid_x,centroid_y,candidate_node_id,candidate_snap_distance_m,candidate_x,candidate_y,nearest_bus_stop_m,nearest_bus_stop_id,nearest_bus_stop_name,nearest_bus_passengers_sum,bus_stop_count_300m,bus_stop_count_400m,nearest_road_m,nearest_road_name,nearest_road_highway,nearest_road_edge_length_m,recommended_action,site_feasibility,manual_check_required,manual_check_items
11,144,송파구,잠실2동,11240790,8930e1ca857ffff,near_400m_distance,0.043678067914950366,0.24409796121693983,370.9763010778915,397.70234499740315,2564.689226208742,348.48825891565616,963051.8072152697,1945952.6931721426,2650141074,51.93047820497753,963101.3953745596,1945968.1135815028,91.15667799579619,123000053,잠실엘스아파트앞,1244507.0,4,5,6.641184342339132e-07,,residential,59.490772831776496,access_route_improvement_review,conditional_manual_road_width_review,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
12,149,마포구,용강동,11140590,8930e1d82b7ffff,near_400m_distance,0.04325589664036438,0.2279746423222844,392.6048830500591,422.8512658463562,2421.89320788123,378.0933900381173,950799.1226747243,1949524.5411159047,8386126462,8.868979746488142,950798.16607525,1949515.7238760197,199.2827132957801,113900092,대흥세양아파트,17497.0,7,23,1.7511087547588138e-07,,service,8.298639221882882,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
13,56,관악구,신원동,11210650,8930e1d9267ffff,high_demand_plus_near_400m_distance,0.05127406042571111,0.2731453607909871,382.77348748922236,415.536761594038,2564.3733400287056,523.1858359386574,949156.1861517366,1942669.0891804663,4370508461,18.350747359986435,949150.0887375176,1942651.78104745,287.0353174151238,120900170,봉림교,833123.0,2,17,5.300956607522591e-07,남부순환로170길,residential,24.0986267614027,stop_relocation_or_pedestrian_connection_review,conditional_manual_road_width_review,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
14,27,동대문구,이문2동,11060900,8930e1c00cbffff,high_demand_plus_near_400m_distance,0.05578048590356596,0.3333392212789951,342.27741287137064,368.1749808435634,2600.2570837157855,601.3018386489364,961692.1886253261,1956158.7779810983,4654985728,35.344688843061675,961672.0135238954,1956187.7988754965,254.0329466202339,107000107,석관동코오롱아파트,217420.0,3,8,4.7405909461064473e-07,,residential,38.70718431376173,stop_relocation_or_pedestrian_connection_review,conditional_manual_road_width_review,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
15,113,강서구,화곡4동,11160590,8930e0acd83ffff,near_400m_distance,0.04546919048493805,0.24372431548229043,386.23702093169834,414.6699604668822,2266.3779860063773,536.4774827089661,943526.7430382336,1948014.711096953,13671671958,26.239752611023135,943549.0836156775,1948000.9479862377,287.80516864315115,115900229,중앙하이츠빌라,8706.0,3,13,2.7734320554795673e-07,,primary,46.162254576513156,stop_relocation_or_pedestrian_connection_review,desktop_possible_road_proxy,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
16,191,노원구,상계10동,11110740,8930e1c2113ffff,near_400m_distance,0.04054462007269961,0.25064760611557113,336.0735917470771,359.16753757625156,2858.3441255072844,521.143736770044,960981.5238610614,1962455.9557000801,4658197309,12.21437113850248,960993.184466833,1962452.319612162,53.96262911769277,110000082,임광아파트상가,108395.0,8,10,1.611256115826699e-07,,service,131.78469130536328,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
17,161,서초구,반포3동,11220590,8930e1ca617ffff,near_400m_distance,0.042120271594930404,0.25047228114189907,345.18377297270933,373.39641652814987,2464.504519923546,352.0263376558135,956765.7901609496,1945547.478316125,5746496282,26.0139269509603,956766.0035914718,1945573.491367519,55.712731976177004,121000018,반포역,1020366.0,8,10,6.73804732446376e-07,,service,30.43182661595741,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
18,210,노원구,상계8동,11110720,8930e1c2183ffff,near_400m_distance,0.039634932955760344,0.22937806291964227,359.8365033396035,384.9874748753394,2886.427389317626,474.31975076277905,960785.8106290735,1962963.023149104,9497675031,37.41881433087296,960763.7684853649,1962993.2607344352,145.96025266780765,110900043,동일초등학교,27444.0,7,11,4.440787923964336e-07,,footway,64.17763604137143,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
19,233,강남구,대치2동,11230790,8930e1cae4fffff,near_400m_distance,0.038644145713195584,0.2105267134347302,382.2858587741431,410.46659726621783,1856.6809263482692,291.6448718236621,961564.9127730196,1944609.3569103046,8369914343,15.206362986968626,961549.9519381246,1944606.6353492572,100.02769965489207,122000143,래미안하이스턴.대치순복음교회,567611.0,3,8,1.9573812353798546e-07,,service,180.76486063508113,access_route_improvement_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
20,189,양천구,신월2동,11150580,8930e0aeb4fffff,near_400m_distance,0.0405979469231112,0.24093778636123406,347.26492750308296,374.69230980069244,2746.4623404946497,630.6893206362339,942351.9843219224,1947731.061349656,2562954570,39.532312159034056,942391.51612984,1947731.261017887,265.10134073709315,115900225,화곡전화국,27561.0,1,8,7.552245631781528e-08,중앙로57길,residential,168.5977677286989,new_stop_or_access_improvement_review,conditional_manual_road_width_review,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
21,151,송파구,잠실4동,11240750,8930e1ca92bffff,near_400m_distance,0.04296708814540462,0.24299598965541713,360.97612373975517,393.07065929475095,2542.6044087116625,408.19374453204637,965674.7804063621,1946953.8231644793,13591241064,39.32366428655543,965660.849556604,1946990.5965515675,219.23810918965674,123000037,잠실진주아파트,150452.0,4,7,3.497239435241618e-07,,footway,225.4906916437005,stop_relocation_or_pedestrian_connection_review,manual_review_required,True,road_width_waiting_space; bus_route_accessible_road; stop_spacing; crossing_and_sidewalk_connection; alternative_access_route
