hex_id,origin_node_id,access_cost_m3_k1_stored,mean_cost_k1,mean_cost_k2,mean_cost_k3
8930e1c046fffff,3830773436,108.49669837291775,108.49669837291775,124.1661440889678,163.41593979995545
8930e1c047bffff,6270613221,60.888712130251314,60.88871213025131,70.4933964925173,124.58153722632069
8930e1c0483ffff,436866397,91.11176477126087,91.11176477126087,105.61687208412681,149.75079240682848
8930e1c0487ffff,12628419466,325.44936343974985,325.44936343974985,452.9004651638105,500.3221922233306
8930e1c048fffff,4156740619,463.0126959536839,463.0126959536839,483.30463806425416,503.2765410380104
8930e1c0497ffff,7572358464,150.93605409043897,150.93605409043897,169.81815596141735,196.45608665982556
8930e1c04a3ffff,436855614,322.8244009103643,322.8244009103643,370.06875608126416,398.92725266673204
8930e1c04abffff,4641963300,104.39291654330245,104.39291654330243,149.40123612288107,181.44582635042968
8930e1c04afffff,12690193002,464.9185606955835,464.91856069558344,468.70330224173165,471.1002415259956
8930e1c04b7ffff,11227690524,447.15740691645664,447.1574069164567,466.20337429366907,475.90656773427526
8930e1c04cbffff,3836139381,0.0,0.0,17.365105248487865,77.09007428563721
8930e1c04cfffff,3836121982,135.09960329375315,135.09960329375315,143.33304885716802,169.5753939305727
8930e1c04d3ffff,8508645365,163.4919608491723,163.4919608491723,172.96481780834995,192.8452551147453
8930e1c04d7ffff,3835971376,173.36372951573827,173.36372951573827,194.86411597542605,238.15001521996496
8930e1c04dbffff,3836347001,262.0093561279825,262.0093561279825,279.5342418550474,291.39810099738855
8930e1c0503ffff,2649773830,33.452447479308816,33.452447479308816,100.22533723470158,129.61019727206371
8930e1c0507ffff,10597261817,122.20877664758751,122.20877664758751,138.21403359830748,157.28848638126598
8930e1c050bffff,2634543914,235.20252364348187,235.20252364348187,246.28679714168655,272.1556177191307
8930e1c050fffff,4156706706,234.15283994841639,234.15283994841639,256.9859582950552,268.83358156978187
8930e1c0513ffff,3469321391,23.366663677890585,23.366663677890585,105.06549098822958,142.40405302278415
8930e1c0517ffff,2931503807,65.88221736746698,65.88221736746698,69.90353231485622,111.27850259514145
8930e1c051bffff,7577451252,35.494521147855544,35.494521147855544,45.8694482590664,63.01428794444765
8930e1c052bffff,10716433194,309.4896337987759,309.4896337987759,406.07764954962767,439.04837448913077
8930e1c0533ffff,5546736798,559.4859878513599,559.4859878513602,575.4587752949035,585.243830373543
8930e1c053bffff,10597261368,203.05043637462222,203.05043637462222,230.5104588850501,300.9274489063477
8930e1c0543ffff,2633852591,113.1426388185038,113.1426388185038,150.9672101638782,164.66725446055753
8930e1c0547ffff,4156715924,203.52536482764344,203.52536482764344,252.94081067558076,291.3340641249888
8930e1c054bffff,436855371,0.0,0.0,80.22264864313566,134.14371414263329
8930e1c054fffff,7579683643,182.05104014625212,182.05104014625212,184.81690907071697,187.9567994489083
8930e1c0557ffff,2633852615,80.86337033311085,80.86337033311085,119.15978405003781,146.2699664287002
8930e1c055bffff,1936512373,75.48514932949475,75.48514932949475,219.40247476716846,286.5724691106732
8930e1c0563ffff,2911443654,274.0381019453631,274.0381019453631,282.5655938577728,287.8312036453273
8930e1c0567ffff,1943132520,289.7138834935315,289.71388349353145,301.87604413106806,320.4000296503397
8930e1c056bffff,3748161153,81.64551094767069,81.64551094767069,96.2730897286917,153.75216024536175
8930e1c056fffff,13084060185,176.29617778958178,176.29617778958175,271.6744470306852,310.6372526477648
8930e1c0573ffff,3843154711,171.18146657465172,171.18146657465172,208.23850640420787,275.84689474139765
8930e1c0577ffff,3842089470,152.26413587305035,152.26413587305035,245.98822221501598,328.9580642464653
8930e1c057bffff,10301311520,115.0960881493284,115.0960881493284,143.2409130584341,168.0865944332934
8930e1c0583ffff,3842051103,183.70417068438582,183.70417068438582,218.04289781052114,252.61916238401705
8930e1c058bffff,5198301164,23.82162726568736,23.82162726568736,81.84065632201437,106.39265999757795
8930e1c0593ffff,5527293081,0.0,0.0,81.06944626990827,133.30079565587525
8930e1c0597ffff,5529725498,76.82827587272577,76.82827587272577,160.0181506479763,200.779038255794
8930e1c059bffff,5527293095,0.0,0.0,80.77892852688193,128.05244933758584
8930e1c05b3ffff,5549312532,384.13391637748805,384.133916377488,422.65156789464174,479.4587099888029
8930e1c05b7ffff,4156311902,417.14820037134143,417.14820037134143,580.2465774912556,637.866924055777
8930e1c05c7ffff,436845768,0.0,0.0,44.17826919670441,92.08445530032189
8930e1c05cbffff,12628419642,0.0,0.0,156.90692921051206,210.90820080438843
8930e1c05d7ffff,5068829501,0.0,0.0,105.25520269079571,149.67922453908275
8930e1c0603ffff,3369302130,278.50941569648114,278.50941569648114,332.1018969988228,357.425048218692
8930e1c0607ffff,3830873477,45.93702739036516,45.93702739036516,117.43422278847872,152.73501618156476
8930e1c060bffff,2899160919,364.24050791091713,364.2405079109172,385.9931489552539,397.3826324299686
8930e1c061bffff,3356235197,779.8932087427287,779.8932087427289,791.081694921362,828.968595146493
8930e1c0627ffff,3831106804,188.06688563049966,188.06688563049968,253.63364873477616,294.5340703632607
8930e1c062fffff,3831106461,76.04216002321834,76.04216002321834,111.27717035532545,142.24063538159984
8930e1c0637ffff,436867949,163.03219555541233,163.03219555541233,173.50247505550846,250.134337994513
8930e1c0643ffff,3369302112,117.68726316156892,117.68726316156892,178.7163018985686,211.5027913866442
8930e1c0647ffff,5624688326,283.4224604681107,283.4224604681107,360.94948898671623,437.71015231180644
8930e1c064bffff,10742944695,432.9845151058002,432.9845151058002,474.12386908861333,492.1433110199135
8930e1c064fffff,3375132845,202.66825649697256,202.66825649697256,210.58569460021238,221.91541847182967
8930e1c0663ffff,13011506828,218.66157160812847,218.66157160812844,251.66651340236635,264.27410792053496
8930e1c0667ffff,10297490044,119.22497197969085,119.22497197969084,189.53591167477794,219.83379445994606
