hex_id,analysis_valid_final,access_cost_m0,access_cost_m3,cost_m3_norm_final,demand_norm_final,demand_index_final,vulnerability_m3_final,vulnerability_threshold_final,official_400m_ok_m0,hidden_vulnerable_final,registered_population,registered_senior_population,registered_senior_share,poi_total_count,baseline_minmax_product_hidden,winsorize_1_99_product_hidden,log1p_product_hidden,rank_product_hidden,additive_minmax_hidden,delta_cost_m3_minus_m0,delta_pct_m3_over_m0,any_normalization_hidden_flag,robust_core_hidden_flag,variant_hidden_count,normalization_sensitive_flag,district_name,admin_name,admin_code
8930e036393ffff,True,233.4729207408351,289.63525670503145,0.07019435949166,0.5721404557399875,0.3058370434544766,0.04016103282993487,0.028838610230807495,True,True,3342.2777799409887,907.4227923212352,0.27149831703613114,55,True,True,True,True,True,56.16233596419636,0.2405518198255589,True,True,4,False,금천구,시흥4동,11180600.0
8930e03639bffff,True,86.48088359620871,92.29935521905414,0.02236914868307247,0.5795332545781893,0.30967327237431375,0.012963665538444405,0.028838610230807495,True,False,2511.1962307527847,683.6738491994662,0.27225026894633414,148,False,False,True,False,True,5.818471622845422,0.06728043679586666,True,False,1,True,,,
8930e0363abffff,True,352.92552900394855,433.4531779367574,0.10504925588489886,0.6791754920480833,0.3613790527404769,0.07134688005491119,0.028838610230807495,True,True,3926.5726226218685,987.8170119803442,0.25157232704402516,33,True,True,True,True,True,80.52764893280886,0.22817178785586778,True,True,4,False,금천구,시흥2동,11180580.0
8930e0363c7ffff,True,211.99078846397114,262.500207283787,0.06361806268453961,0.4709397489726202,0.2533225511078452,0.0299602744707815,0.028838610230807495,True,True,2402.8844374917007,679.9551656776907,0.2829745596868885,61,True,True,True,True,False,50.50941881981586,0.23826232821621013,True,True,4,False,금천구,시흥5동,11180610.0
8930e0364a3ffff,True,193.29939621277902,206.24212678467754,0.04998367310162031,0.6409619178416415,0.3415494832216135,0.03203763097198422,0.028838610230807495,True,True,1056.310853956567,130.94919269536916,0.12396842482956584,951,True,True,True,True,True,12.942730571898522,0.06695691153453731,True,True,4,False,금천구,가산동,11180510.0
8930e036507ffff,True,308.2409073043992,352.5485464272738,0.08544166786773769,0.5681202266022382,0.30375088912779435,0.04854113971029231,0.028838610230807495,True,True,2423.7984082506878,421.37657875380125,0.17384968045173305,126,True,True,True,True,True,44.307639122874605,0.14374353978629836,True,True,4,False,관악구,조원동,11210720.0
8930e03650fffff,True,328.0855307320815,355.16783992725027,0.0860764649972141,0.4165144001898918,0.22508046018368427,0.03585208718878084,0.028838610230807495,True,True,2153.5947016147666,496.15978425668163,0.2303867964964163,57,True,True,False,True,False,27.08230919516876,0.08254649065058738,True,False,3,True,금천구,독산3동,11180540.0
8930e036513ffff,True,114.5409656006486,122.23406902051659,0.029623956284067506,0.6087511153366932,0.32483483768545796,0.018033616428611537,0.028838610230807495,True,False,1887.672635256284,322.09400910777225,0.17063022639200492,185,False,False,True,False,True,7.693103419867981,0.06716464611176996,True,False,1,True,,,
8930e036517ffff,True,163.78866638879555,176.61249936367554,0.042802804506910895,0.5271921721138224,0.2825127370155259,0.022565303480561662,0.028838610230807495,True,False,1887.8241541858429,322.11986281702553,0.1706302263920049,498,False,False,True,False,True,12.823832974879991,0.07829499597022938,True,False,1,True,,,
8930e036533ffff,True,256.82844548607386,278.3382961819411,0.06745649215761343,0.45195726205424763,0.24347226748990167,0.030487451503338793,0.028838610230807495,True,True,2467.8016001366755,419.36497780100365,0.1699346405228758,128,True,True,False,True,False,21.509850695867215,0.08375182373259957,True,False,3,True,관악구,조원동,11210720.0
8930e0365bbffff,True,275.2609921343218,303.15760910711015,0.07347156019050688,0.458041503939077,0.24662946751450615,0.03365302392641019,0.028838610230807495,True,True,1900.4125272648917,327.3946022160653,0.17227554413528182,352,True,True,True,True,False,27.896616972788365,0.10134605981211962,True,True,4,False,구로구,구로3동,11170540.0
8930e036913ffff,True,173.84800941130436,190.50155027161006,0.046168876177606726,0.534990330064736,0.28655931256931566,0.024699902304975745,0.028838610230807495,True,False,3574.3129612121884,653.8428877720645,0.18292827037460116,35,False,False,True,False,True,16.653540860305696,0.09579368159980099,True,False,1,True,,,
8930e036983ffff,True,94.24423322205223,157.66096494571718,0.03820981802112707,0.5469421005317038,0.2927612569901096,0.02089855812940939,0.028838610230807495,True,False,3247.0515881716938,560.6936711050686,0.17267778348442453,167,False,False,True,False,True,63.41673172366495,0.6728977419153754,True,False,1,True,,,
8930e03698bffff,True,127.03199038328553,141.78317335736634,0.03436176642904687,0.6043878046761038,0.322570653455814,0.02076783257684468,0.028838610230807495,True,False,3574.103260894737,653.8045276556962,0.1829282703746012,306,False,False,True,False,True,14.751182974080805,0.11612179679758619,True,False,1,True,,,
