district_name,admin_name,admin_code,candidate_hex_count,robust_core_hidden_count,normalization_sensitive_count,registered_population_sum,registered_senior_population_sum,mean_delta_cost_m3_minus_m0,p90_delta_cost_m3_minus_m0,mean_delta_pct_m3_over_m0
강북구,수유2동,11090640.0,2,2,0,5049.7720564377305,1464.825773279736,19.96197350702866,22.188646500950647,0.07729032587988394
강서구,화곡3동,11160580.0,2,2,0,6047.17445265677,1450.745833781694,34.70964357700312,45.46848245444521,0.1387764068773024
종로구,창신3동,11010690.0,2,2,0,5859.48351788863,1370.6162875628856,66.93956038962008,73.09030570117862,0.23582179408586468
강서구,화곡8동,11160630.0,2,2,0,5999.487563251872,1360.5552220579557,47.05867763394781,69.0137007288773,0.23764512430196322
서대문구,북가좌2동,11130720.0,2,2,0,5910.882984816031,1339.6971222469729,64.7941229936327,66.20650003467917,0.234568729562348
서대문구,홍제2동,11130650.0,2,2,0,5436.099327870644,1304.7156950580418,87.97637570450294,92.31613503724674,0.27334361542256363
은평구,구산동,11120570.0,2,2,0,5462.800381739744,1296.4937575325027,72.87141773838424,78.86567149539569,0.3556152940777729
노원구,중계4동,11110640.0,2,2,0,5294.512813675008,1278.703445253108,34.33373432000235,39.83089920479706,0.10721611359949154
관악구,인헌동,11210620.0,2,2,0,6873.445329954875,1241.550246923277,89.61181651950064,135.50573446550518,0.2870720137581355
중랑구,묵2동,11070650.0,2,2,0,5122.989422780354,1233.6319690921487,19.586752305914473,21.85397476184748,0.0802049051677195
중랑구,망우3동,11070680.0,2,2,0,4750.363762673539,1227.7309289775812,33.025607733707375,37.52463852389906,0.105980128292388
광진구,자양3동,11050660.0,2,2,0,6327.557512621899,1213.347165174484,27.69202808166432,35.24776613215912,0.09083995228053621
도봉구,창5동,11100630.0,2,2,0,5190.928331269231,1198.5367179105056,16.008716321720485,17.124015559694246,0.07653258395514378
동작구,상도2동,11200540.0,2,2,0,6424.120770025403,1171.1301937889166,49.121705055374136,61.82555754246352,0.20072527889290143
동대문구,이문2동,11060900.0,2,2,0,5218.876147177797,1160.7377059904386,24.12451015188674,25.542956408131545,0.07079890957779779
서대문구,천연동,11130520.0,2,2,0,5178.1377766991245,1141.5354592493045,103.72771078017624,134.46362943457837,0.4553389412350515
노원구,공릉1동,11110790.0,2,2,0,5166.780241319659,1129.7089363495934,22.45980496467594,29.03439311353783,0.11261807640407957
강북구,수유3동,11090650.0,2,2,0,4665.379498963293,1079.4292834067537,19.26725285047408,22.7715654662276,0.07469067296380208
관악구,행운동,11210570.0,2,2,0,6306.042313528271,1068.8958434729504,91.38113547647265,114.9216899066201,0.38377417217381327
중구,황학동,11020670.0,2,2,0,6159.496848181534,1061.7250224613722,21.075760386184285,21.28454118141286,0.09657218415124874
노원구,상계10동,11110740.0,2,2,0,5689.187335535011,1052.0406399249205,27.33943345735358,30.735823559896875,0.08229584811811277
관악구,신원동,11210650.0,2,2,0,5128.841783997174,1046.391075071635,50.33323082251924,64.38919619668211,0.18826314089585677
성북구,종암동,11080840.0,2,2,0,5026.230440974261,1020.6806460680746,33.680047461468774,39.04869504866278,0.1811085399265532
강서구,방화1동,11160700.0,2,2,0,4745.310102548436,963.3407162178444,27.50798896325759,31.749099917470467,0.09356868184813685
서초구,반포2동,11220580.0,2,2,0,6515.007364797236,963.1902902084047,23.458618722046182,25.564842855659034,0.09150596453637164
마포구,아현동,11140780.0,2,2,0,6815.19389891926,945.5532154278682,64.96437556962564,82.12633336371887,0.1994172309124078
