hex_id,access_cost_m0,access_cost_m3,cost_gap_m3_minus_m0,cost_gap_ratio_m3_over_m0,official_400m_ok_m0,hidden_vulnerable_final,registered_population,registered_senior_population,demand_index_final,m0_rank,m3_rank,rank_shift_m3_minus_m0,abs_rank_shift_m0_m3,m0_frozen_vulnerability,m3_under_m0_frozen_vulnerability,delta_vulnerability_m3_minus_m0,m0_frozen_vulnerable,m3_under_m0_frozen_vulnerable,new_environment_burden_vulnerable,resolved_environment_burden_vulnerable,m0_400_to_m3_over_400,diagnostic_label
8930e1c1227ffff,150.33653905281375,160.44522698904032,10.108687936226573,1.0672403927875136,True,False,750.2296115349741,157.2485520891833,0.09563533793156462,2220.0,2056.0,-164.0,164.0,0.0065038507207053325,0.006941172197796912,0.00043732147709157985,False,False,False,False,False,no_crossing
8930e1c122bffff,71.91252180250706,78.46953056836402,6.557008765856963,1.0911803480326339,True,False,1327.7059426066262,307.30562912613465,0.1558950600086567,1063.0,1017.0,-46.0,46.0,0.005273634098875383,0.005754485891407607,0.0004808517925322239,False,False,False,False,False,no_crossing
8930e1c122fffff,208.76139537815178,222.354592785252,13.593197407100234,1.065113558866942,True,False,1338.170850445694,308.7715746657867,0.2029362629760881,2960.0,2806.0,-154.0,154.0,0.02021008796459391,0.02152603871698257,0.0013159507523886615,False,False,False,False,False,no_crossing
8930e1c1233ffff,233.2088611083919,248.33452657114745,15.125665462755563,1.0648588796792133,True,False,962.4316788597284,212.39303689467513,0.1889358470692922,3203.0,3036.0,-167.0,167.0,0.02094745558860109,0.022306084090207835,0.0013586285016067429,False,False,False,False,False,no_crossing
8930e1c1237ffff,110.90569936629981,117.88775193601701,6.982052569717197,1.0629548581327353,True,False,687.0890353834167,140.84412476794745,0.18103239980244717,1608.0,1511.0,-97.0,97.0,0.009524424115210437,0.010124032884179514,0.0005996087689690774,False,False,False,False,False,no_crossing
8930e1c123bffff,0.0,0.0,0.0,,True,False,1327.6278928048282,307.28756402401,0.2205326351775774,225.5,225.5,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_crossing
8930e1c1267ffff,155.3069027338557,165.9957618956882,10.688859161832482,1.068824108740032,True,False,1327.6774371845304,307.2990313725286,0.12985297159344228,2294.0,2138.0,-156.0,156.0,0.009370899528518462,0.010015843336661133,0.0006449438081426711,False,False,False,False,False,no_crossing
8930e1c1273ffff,226.2697444224682,243.31829321668445,17.04854879421626,1.0753461265346413,True,False,1327.4928563489257,307.2563090136162,0.16157403797209013,3136.0,2998.0,-138.0,138.0,0.017234527494443593,0.018533082383804696,0.0012985548893611025,False,False,False,False,False,no_crossing
8930e1c1277ffff,126.9724495891785,135.82639181016435,8.853942220985857,1.069731207436203,True,False,1327.5993954145285,307.2809681294121,0.21252691346529778,1862.0,1749.0,-113.0,113.0,0.01289984678979811,0.01379936868219276,0.0008995218923946498,False,False,False,False,False,no_crossing
8930e1c1283ffff,125.33858769719666,135.9731214932043,10.634533796007645,1.0848464466641305,True,False,1576.2468557042664,280.3918718800201,0.2590883370544478,1841.0,1752.0,-89.0,89.0,0.01564622865978245,0.01697375556525947,0.0013275269054770222,False,False,False,False,False,no_crossing
8930e1c1287ffff,271.75162086100244,294.6952508796586,22.943630018656165,1.0844286777240293,True,True,1559.804465396542,276.1554445136859,0.27698329723610954,3524.0,3406.0,-118.0,118.0,0.03635004493610632,0.039419031165270825,0.0030689862291645026,True,True,False,False,False,hidden_vulnerable_under_m3_threshold
8930e1c128fffff,185.9430197000613,200.7819673707655,14.838947670704187,1.079803736083454,True,False,1603.5112753909302,287.3926860647472,0.22227820846246926,2701.0,2576.0,-125.0,125.0,0.01979585322350714,0.021375636269702698,0.001579783046195559,False,False,False,False,False,no_crossing
